threads,real_time_s
1,2103.53
2,1605.78
3,6105.10
4,2017.46
5,2928.27
6,1999.59
7,2266.35
8,2246.11
9,2196.17
10,2203.74
11,2209.07
12,1325.41
13,1357.22
14,1349.66
15,1359.98
16,1342.60
